Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type,Type
XXXXXXXXX,Corporate,MA,6419 Silver Towers,51208.07493,6,Outdoors,18.23650742,-66.37051392,Africa,Casablanca,Marruecos,9451,12/8/2016 0:14,48434,828,16.30999947,0.170000002,121134,31.98999977,0.479999989,3,95.97000122,79.66000366,38.22999954,North Africa,Gran Casablanca,PENDING_PAYMENT,,828,37,,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+San+Diego+Chargers...,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,0,12/13/2016 0:14,Second Class,
XXXXXXXXX,Corporate,PR,259 Harvest Close,51673.82841,3,Footwear,18.35921478,-66.07779694,Europe,Dortmund,Alemania,542,7/7/2015 5:31,12827,191,6,0.02,32072,99.98999786,0.439999998,3,299.9700012,293.9700012,129.3500061,Western Europe,Renania del Norte-Westfalia,PENDING_PAYMENT,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,7/10/2015 5:31,Second Class,
XXXXXXXXX,Corporate,PR,7344 Hazy Beacon Park,52139.58188,3,Footwear,18.29944229,-66.37052155,Europe,Drancy,Francia,11329,7/22/2017 7:16,63936,191,30,0.100000001,159828,99.98999786,0.49000001,3,299.9700012,269.9700012,132.2899933,Western Europe,Isla de Francia,PENDING_PAYMENT,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,7/24/2017 7:16,Second Class,
XXXXXXXXX,Corporate,CA,7789 Lazy Corners,52605.33536,3,Footwear,18.28996849,-66.37054443,Europe,Nantes,Francia,3570,8/7/2017 6:33,65030,191,74.98999786,0.25,162548,99.98999786,0.340000004,3,299.9700012,224.9799957,76.04000092,Western Europe,Países del Loira,PENDING_PAYMENT,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,8/13/2017 6:33,Second Class,
XXXXXXXXX,Consumer,PR,5138 Rustic Pioneer Estates,53071.08884,4,Apparel,18.2275734,-66.04563141,Europe,Groningen,Países Bajos,650,9/22/2015 7:41,18108,365,3.599999905,0.02,45253,59.99000168,0.460000008,3,179.9700012,176.3699951,81.12999725,Western Europe,Groningen,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,9/26/2015 7:41,Second Class,
XXXXXXXXX,Consumer,IL,1725 Tawny Via,53536.84232,4,Apparel,18.2988205,-66.37059784,Europe,Gateshead,Reino Unido,9353,7/2/2017 9:03,62571,365,12.60000038,0.07,156394,59.99000168,0.25999999,3,179.9700012,167.3699951,43.52000046,Northern Europe,Inglaterra,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,7/4/2017 9:03,Second Class,
XXXXXXXXX,Corporate,CA,7113 Silent Fox Gardens,54002.5958,4,Apparel,18.02538109,-66.61508179,Europe,Eastbourne,Reino Unido,54,9/8/2015 12:15,17162,365,16.20000076,0.090000004,42919,59.99000168,0.419999987,3,179.9700012,163.7700043,68.77999878,Northern Europe,Inglaterra,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,9/11/2015 12:15,Second Class,
XXXXXXXXX,Corporate,PR,3734 Old Mountain Bank,54468.34928,4,Apparel,18.25048637,-66.37062836,Europe,Hayange,Francia,12151,8/20/2017 7:03,65922,365,18,0.100000001,164735,59.99000168,0.25,3,179.9700012,161.9700012,40.49000168,Western Europe,Alsacia-Champaña-Ardenas-Lorena,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,8/23/2017 7:03,Second Class,
XXXXXXXXX,Corporate,CA,6219 Rustic Lake Forest,54934.10275,5,Golf,18.29944229,-66.37052155,Europe,Drancy,Francia,11329,7/22/2017 7:16,63936,502,10.5,0.07,159829,50,0.150000006,3,150,139.5,20.93000031,Western Europe,Isla de Francia,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,7/24/2017 7:16,Second Class,
XXXXXXXXX,Corporate,PR,1084 Quiet Treasure Link,55399.85623,5,Golf,18.24069786,-66.37055969,Europe,Portsmouth,Reino Unido,10018,8/4/2017 2:31,64813,627,12,0.100000001,162007,39.99000168,0.109999999,3,119.9700012,107.9700012,12.19999981,Northern Europe,Inglaterra,PENDING_PAYMENT,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,8/8/2017 2:31,Second Class,
XXXXXXXXX,Corporate,MT,3178 Round Gate,55865.60971,5,Golf,18.26268196,-66.37049866,Europe,Gelsenkirchen,Alemania,3182,9/18/2017 1:14,67892,502,37.5,0.25,169747,50,0.109999999,3,150,112.5,12.71000004,Western Europe,Renania del Norte-Westfalia,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,9/21/2017 1:14,Second Class,
XXXXXXXXX,Corporate,PR,1428 Fallen Line,56331.36319,6,Outdoors,18.21209908,-66.37050629,Europe,Nice,Francia,4936,7/2/2015 19:42,12525,917,10.56000042,0.159999996,31344,21.98999977,0.140000001,3,65.97000122,55.40999985,7.760000229,Western Europe,Provenza-Alpes-Costa Azul,PENDING_PAYMENT,,917,41,,http://images.acmesports.sports/Glove+It+Women%27s+Mod+Oval+3-Zip+Carry+All+Golf+Bag,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,0,7/8/2015 19:42,Second Class,
XXXXXXXXX,Consumer,PA,9816 Emerald Prairie Limits,56797.11667,3,Footwear,18.23131371,-66.37062836,LATAM,Petapa,Guatemala,8707,3/28/2015 0:55,5895,191,0,0,14664,99.98999786,0.340000004,3,299.9700012,299.9700012,101.3899994,Central America,Guatemala,PENDING_PAYMENT,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,4/3/2015 0:55,Second Class,
XXXXXXXXX,Corporate,PR,8273 Tawny Elk Abbey,57262.87014,4,Apparel,18.29652023,-66.04867554,LATAM,Mejicanos,El Salvador,1025,4/2/2017 16:43,56359,365,1.799999952,0.01,140970,59.99000168,-1.600000024,3,179.9700012,178.1699982,-285.0700073,Central America,San Salvador,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,4/7/2017 16:43,Second Class,
XXXXXXXXX,Corporate,MI,3933 Gentle Ramp,57728.62362,4,Apparel,18.28746414,-66.37054443,LATAM,David,Panamá,8831,5/5/2017 14:23,58613,365,9,0.050000001,146701,59.99000168,0.25,3,179.9700012,170.9700012,42.74000168,Central America,Chiriquí,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,5/9/2017 14:23,Second Class,
XXXXXXXXX,Consumer,NY,2125 Hazy Corner,58194.3771,4,Apparel,18.29108048,-66.37050629,LATAM,Santo Domingo,República Dominicana,10679,4/25/2015 4:44,7824,365,9.899999619,0.059999999,19564,59.99000168,0.289999992,3,179.9700012,170.0700073,49.3199997,Caribbean,Santo Domingo,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,4/30/2015 4:44,Second Class,
XXXXXXXXX,Home Office,PR,1882 Green Pine Bank,58660.13058,4,Apparel,18.24984551,-66.37050629,LATAM,Cabimas,Venezuela,5007,4/25/2015 1:14,7814,365,12.60000038,0.07,19544,59.99000168,0.479999989,3,179.9700012,167.3699951,80.33999634,South America,Zulia,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,4/30/2015 1:14,Second Class,
XXXXXXXXX,Corporate,FL,7598 Cotton Log Row,59125.88406,4,Apparel,18.24984551,-66.37050629,LATAM,Cabimas,Venezuela,5007,4/25/2015 1:14,7814,365,16.20000076,0.090000004,19542,59.99000168,-0.159999996,3,179.9700012,163.7700043,-26.69000053,South America,Zulia,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,4/30/2015 1:14,Second Class,
XXXXXXXXX,Corporate,PR,2054 Dusty Route,59591.63754,4,Apparel,18.25671768,-66.37062836,LATAM,Santo Domingo,República Dominicana,9854,6/6/2017 15:03,60807,365,27,0.150000006,152161,59.99000168,-0.769999981,3,179.9700012,152.9700012,-117.3300018,Caribbean,Santo Domingo,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,6/9/2017 15:03,Second Class,
XXXXXXXXX,Corporate,CA,9142 Blue Blossom Court,60057.39101,4,Apparel,18.24754334,-66.0253067,LATAM,Dos Quebradas,Colombia,376,2/18/2017 16:36,53413,365,27,0.150000006,133456,59.99000168,0.310000002,3,179.9700012,152.9700012,47.88000107,South America,Risaralda,PENDING_PAYMENT,,365,17,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,2/22/2017 16:36,Second Class,
XXXXXXXXX,Corporate,PR,4061 Quiet Heights,60523.14449,5,Golf,18.27673721,-66.37055206,LATAM,Ilopango,El Salvador,5417,4/26/2015 3:10,7888,502,0,0,19707,50,0.479999989,3,150,150,72,Central America,San Salvador,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,4/30/2015 3:10,Second Class,
XXXXXXXXX,Consumer,NY,3246 Shady Corner,60988.89797,5,Golf,18.2968483,-66.37050629,LATAM,Tegucigalpa,Honduras,10759,4/10/2015 0:02,6783,627,4.800000191,0.039999999,16956,39.99000168,0.25999999,3,119.9700012,115.1699982,29.94000053,Central America,Francisco Morazán,PENDING_PAYMENT,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,4/14/2015 0:02,Second Class,
XXXXXXXXX,Corporate,CA,134 Sunny Treasure Green,61454.65145,5,Golf,18.29609299,-66.37050629,LATAM,Juazeiro,Brasil,8541,4/11/2017 15:49,56973,502,6,0.039999999,142502,50,0.159999996,3,150,144,23.46999931,South America,Bahía,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,4/15/2017 15:49,Second Class,
XXXXXXXXX,Corporate,PR,2534 Wishing Square,61920.40493,5,Golf,18.29108048,-66.37050629,LATAM,Santo Domingo,República Dominicana,10679,4/25/2015 4:44,7824,502,7.5,0.050000001,19563,50,0.479999989,3,150,142.5,68.40000153,Caribbean,Santo Domingo,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,4/30/2015 4:44,Second Class,
XXXXXXXXX,Corporate,MA,6420 Silver Towers,62386.15841,5,Golf,18.2105732,-66.37058258,LATAM,Mexico City,México,3752,3/16/2017 2:54,55155,502,10.5,0.07,137932,50,0.310000002,3,150,139.5,43.65999985,Central America,Distrito Federal,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,3/22/2017 2:54,Second Class,
XXXXXXXXX,Corporate,PR,260 Harvest Close,62851.91188,5,Golf,18.20111656,-66.37059021,LATAM,Tlaquepaque,México,4673,3/29/2015 10:33,5991,502,18,0.119999997,14921,50,0.100000001,3,150,132,13.19999981,Central America,Jalisco,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,3/31/2015 10:33,Second Class,
XXXXXXXXX,Corporate,PR,7345 Hazy Beacon Park,63317.66536,5,Golf,18.21469116,-66.37051392,LATAM,Puebla,México,5367,2/3/2015 0:28,2263,502,18,0.119999997,5671,50,0.349999994,3,150,132,46.20000076,Central America,Puebla,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,2/7/2015 0:28,Second Class,
XXXXXXXXX,Corporate,CA,7790 Lazy Corners,63783.41884,5,Golf,18.21469116,-66.37051392,LATAM,Puebla,México,5367,2/3/2015 0:28,2263,502,19.5,0.129999995,5669,50,0.079999998,3,150,130.5,10.43999958,Central America,Puebla,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,2/7/2015 0:28,Second Class,
XXXXXXXXX,Consumer,PR,5139 Rustic Pioneer Estates,64249.17232,5,Golf,18.28425598,-66.37058258,LATAM,Mexico City,México,10485,2/18/2017 13:05,53403,502,25.5,0.170000002,133427,50,0.129999995,3,150,124.5,15.56000042,Central America,Distrito Federal,PENDING_PAYMENT,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,2/22/2017 13:05,Second Class,
XXXXXXXXX,Consumer,IL,1726 Tawny Via,64714.9258,5,Golf,18.20666885,-66.37056732,LATAM,São Paulo,Brasil,9272,1/18/2017 19:37,51298,627,20.38999939,0.170000002,128201,39.99000168,0.330000013,3,119.9700012,99.58000183,32.86000061,South America,São Paulo,PENDING_PAYMENT,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,1/22/2017 19:37,Second Class,
XXXXXXXXX,Corporate,CA,7114 Silent Fox Gardens,65180.67928,5,Golf,18.35907555,-66.07783508,LATAM,Montevideo,Uruguay,647,3/13/2015 18:59,4919,502,10,0.039999999,12307,50,0.039999999,5,250,240,9.600000381,South America,Montevideo,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,3/18/2015 18:59,Standard Class,
XXXXXXXXX,Corporate,PR,3735 Old Mountain Bank,65646.43275,5,Golf,18.26378822,-66.37052918,LATAM,Buenos Aires,Argentina,6398,2/7/2017 9:47,52640,627,10,0.050000001,131580,39.99000168,0.289999992,5,199.9499969,189.9499969,55.09000015,South America,Buenos Aires,PENDING,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,2/13/2017 9:47,Standard Class,
XXXXXXXXX,Corporate,CA,6220 Rustic Lake Forest,66112.18623,5,Golf,18.20330429,-66.37052155,LATAM,São Paulo,Brasil,4209,4/3/2015 19:08,6358,627,11,0.059999999,15921,39.99000168,0.360000014,5,199.9499969,188.9499969,68.58999634,South America,São Paulo,PENDING,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,4/7/2015 19:08,Standard Class,
XXXXXXXXX,Corporate,PR,1085 Quiet Treasure Link,66577.93971,5,Golf,18.22487068,-66.37052155,LATAM,Barueri,Brasil,8917,4/13/2017 14:25,57106,502,13.75,0.059999999,142841,50,0.219999999,5,250,236.25,51.97999954,South America,São Paulo,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,4/15/2017 14:25,Standard Class,
XXXXXXXXX,Corporate,MT,3179 Round Gate,67043.69319,5,Golf,18.25061035,-66.37062836,LATAM,Arapongas,Brasil,7784,4/2/2015 3:33,6245,502,13.75,0.059999999,15634,50,-0.100000001,5,250,236.25,-23.62999916,South America,Paraná,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,4/8/2015 3:33,Standard Class,
XXXXXXXXX,Corporate,PR,1429 Fallen Line,67509.44667,5,Golf,18.27340317,-66.37052155,LATAM,Camagüey,Cuba,1425,1/31/2017 11:43,52166,642,13.5,0.090000004,130341,30,0.49000001,5,150,136.5,66.88999939,Caribbean,Camagüey,PENDING,,642,29,,http://images.acmesports.sports/Columbia+Men%27s+PFG+Anchor+Tough+T-Shirt,Columbia Men's PFG Anchor Tough T-Shirt,30,0,2/2/2017 11:43,Standard Class,
XXXXXXXXX,Consumer,PA,9817 Emerald Prairie Limits,67975.20014,5,Golf,18.29137993,-66.3705368,LATAM,Las Tunas,Cuba,2737,3/30/2017 23:12,56172,627,18,0.090000004,140494,39.99000168,0.059999999,5,199.9499969,181.9499969,11.46000004,Caribbean,Las Tunas,PENDING,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,4/2/2017 23:12,Standard Class,
XXXXXXXXX,Corporate,PR,8274 Tawny Elk Abbey,68440.95362,5,Golf,18.24738884,-66.37057495,LATAM,Santo Domingo,República Dominicana,6428,3/25/2017 23:02,55829,502,25,0.100000001,139611,50,0.100000001,5,250,225,22.5,Caribbean,Santo Domingo,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,3/30/2017 23:02,Standard Class,
XXXXXXXXX,Corporate,MI,3934 Gentle Ramp,68906.7071,5,Golf,18.27920532,-66.37055206,LATAM,Tepic,México,6543,2/5/2017 1:01,52478,502,25,0.100000001,131161,50,0.300000012,5,250,225,67.5,Central America,Nayarit,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,2/9/2017 1:01,Standard Class,
XXXXXXXXX,Consumer,NY,2126 Hazy Corner,69372.46058,5,Golf,17.98249054,-66.1126709,LATAM,San Miguelito,Panamá,3990,4/15/2017 14:04,57242,627,25.98999977,0.129999995,143183,39.99000168,0.449999988,5,199.9499969,173.9600067,78.27999878,Central America,Panamá,PENDING,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,4/18/2017 14:04,Standard Class,
XXXXXXXXX,Home Office,PR,1883 Green Pine Bank,69838.21406,5,Golf,18.24496079,-66.3705368,LATAM,Ixtapaluca,México,8524,2/15/2015 18:40,3137,502,32.5,0.129999995,7805,50,0.479999989,5,250,217.5,104.4000015,Central America,México,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,2/18/2015 18:40,Standard Class,
XXXXXXXXX,Corporate,FL,7599 Cotton Log Row,70303.96754,5,Golf,18.28453636,-66.37060547,LATAM,Maceió,Brasil,9204,5/27/2017 16:48,60127,502,32.5,0.129999995,150464,50,0.219999999,5,250,217.5,47.84999847,South America,Alagoas,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,5/30/2017 16:48,Standard Class,
XXXXXXXXX,Corporate,PR,2055 Dusty Route,70769.72101,5,Golf,18.28339195,-66.37051392,LATAM,David,Panamá,11761,2/25/2015 20:46,3828,627,29.98999977,0.150000006,9521,39.99000168,0.25999999,5,199.9499969,169.9600067,44.18999863,Central America,Chiriquí,PENDING,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,3/1/2015 20:46,Standard Class,
XXXXXXXXX,Corporate,CA,9143 Blue Blossom Court,71235.47449,5,Golf,18.22172546,-66.37059021,LATAM,Belo Horizonte,Brasil,9554,5/31/2017 11:33,60386,502,37.5,0.150000006,151122,50,0.039999999,5,250,212.5,8.5,South America,Minas Gerais,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,6/2/2017 11:33,Standard Class,
XXXXXXXXX,Corporate,PR,4062 Quiet Heights,71701.22797,5,Golf,18.25333214,-66.37051392,LATAM,Santiago de Cuba,Cuba,5118,1/15/2015 4:32,973,627,31.98999977,0.159999996,2420,39.99000168,0.5,5,199.9499969,167.9600067,83.98000336,Caribbean,Santiago de Cuba,PENDING,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,1/19/2015 4:32,Standard Class,
XXXXXXXXX,Consumer,NY,3247 Shady Corner,72166.98145,5,Golf,18.22976875,-66.37052918,LATAM,San Pedro Sula,Honduras,5506,4/26/2017 15:16,57999,502,42.5,0.170000002,145119,50,0.340000004,5,250,207.5,70.13999939,Central America,Cortés,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,5/1/2017 15:16,Standard Class,
XXXXXXXXX,Corporate,CA,135 Sunny Treasure Green,72632.73493,5,Golf,18.22978401,-66.37054443,LATAM,Lima,Perú,1423,3/7/2017 19:12,54585,502,42.5,0.170000002,136527,50,0.349999994,5,250,207.5,72.62999725,South America,Lima (ciudad),PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,3/13/2017 19:12,Standard Class,
XXXXXXXXX,Corporate,PR,2535 Wishing Square,73098.48841,5,Golf,18.22758102,-66.04357147,LATAM,Holguín,Cuba,138,4/20/2017 18:47,57598,502,50,0.200000003,144075,50,-0.699999988,5,250,200,-140,Caribbean,Holguín,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,4/24/2017 18:47,Standard Class,
XXXXXXXXX,Corporate,MA,6421 Silver Towers,73564.24188,5,Golf,18.22297287,-66.37059021,LATAM,Orizaba,México,6360,3/3/2017 6:14,54274,502,50,0.200000003,135699,50,-0.159999996,5,250,200,-32.59999847,Central America,Veracruz,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,3/8/2017 6:14,Standard Class,
XXXXXXXXX,Corporate,PR,261 Harvest Close,74029.99536,5,Golf,18.24120712,-66.37050629,LATAM,Managua,Nicaragua,2053,6/4/2017 16:06,60673,627,49.99000168,0.25,151869,39.99000168,0.460000008,5,199.9499969,149.9600067,68.98000336,Central America,Managua,PENDING,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,6/8/2017 16:06,Standard Class,
XXXXXXXXX,Corporate,PR,7346 Hazy Beacon Park,74495.74884,5,Golf,18.05199051,-66.50184631,LATAM,Villahermosa,México,10344,5/16/2017 21:33,59387,502,62.5,0.25,148673,50,-0.059999999,5,250,187.5,-11.81000042,Central America,Tabasco,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,5/19/2017 21:33,Standard Class,
XXXXXXXXX,Corporate,CA,7791 Lazy Corners,74961.50232,5,Golf,18.26378822,-66.37052918,LATAM,Buenos Aires,Argentina,6398,2/7/2017 9:47,52640,502,62.5,0.25,131577,50,0.280000001,5,250,187.5,52.5,South America,Buenos Aires,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,2/13/2017 9:47,Standard Class,
XXXXXXXXX,Consumer,PR,5140 Rustic Pioneer Estates,75427.2558,5,Golf,18.20664215,-66.37052918,LATAM,Quixadá,Brasil,3375,5/27/2015 1:32,10007,502,62.5,0.25,24992,50,0.49000001,5,250,187.5,91.87999725,South America,Ceará,PENDING,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,5/30/2015 1:32,Standard Class,
XXXXXXXXX,Consumer,IL,1727 Tawny Via,75893.00928,6,Outdoors,18.27825165,-66.37059784,LATAM,Mejicanos,El Salvador,1339,3/28/2017 5:20,55984,818,2.400000095,0.01,139976,47.99000168,0.129999995,5,239.9499969,237.5500031,29.69000053,Central America,San Salvador,PENDING,,818,37,,http://images.acmesports.sports/Titleist+Pro+V1x+Golf+Balls,Titleist Pro V1x Golf Balls,47.99000168,0,4/2/2017 5:20,Standard Class,
XXXXXXXXX,Corporate,CA,7115 Silent Fox Gardens,76358.76275,6,Outdoors,18.27920532,-66.37055206,LATAM,Tepic,México,6543,2/5/2017 1:01,52478,825,6.400000095,0.039999999,131164,31.98999977,0.479999989,5,159.9499969,153.5500031,73.69999695,Central America,Nayarit,PENDING,,825,37,,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+Tennessee+Titans+Golf...,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977,0,2/9/2017 1:01,Standard Class,
XXXXXXXXX,Corporate,PR,3736 Old Mountain Bank,76824.51623,6,Outdoors,17.98249054,-66.1126709,LATAM,Mixco,Guatemala,3990,5/2/2017 3:00,58375,306,53.99000168,0.119999997,146090,89.98999786,-0.200000003,5,449.9500122,395.9599915,-79.19000244,Central America,Guatemala,PENDING,,306,38,,http://images.acmesports.sports/Polar+FT4+Heart+Rate+Monitor,Polar FT4 Heart Rate Monitor,89.98999786,0,5/8/2017 3:00,Standard Class,
XXXXXXXXX,Corporate,CA,6221 Rustic Lake Forest,77290.26971,7,Fan Shop,18.22776032,-66.37059021,LATAM,Nueva Gerona,Cuba,7247,4/3/2017 23:53,56448,977,25.48999977,0.170000002,141192,29.98999977,0.280000001,5,149.9499969,124.4599991,34.84999847,Caribbean,Isla de la Juventud,PENDING,,977,44,,http://images.acmesports.sports/ENO+Atlas+Hammock+Straps,ENO Atlas Hammock Straps,29.98999977,0,4/7/2017 23:53,Standard Class,
